9,Simple & Seamless Execution,,Fixing Critical Failures in Spot Pricing Workflow Leading to Operational Inefficiencies and IQ issues,Productivity,FTE Reduction,5 FTE,"Unsuccessful Price Task Closures: Frequent failures due to system errors, unsupported logic, and technical limitations are preventing timely and accurate pricing task completion.

Surcharge Drop Issue: Surcharges initially applied during booking are being dropped at later stages in specific scenarios (acknowledhed by penny platform), leading to incorrect rate instances and revenue leakage.

Lack of Support for Commodity-Based Surcharge Exemptions: The pricing engine for Spot and Maersk Go does not accommodate local regulatory exemptions (e.g., INE not applicable for Cashew, Coffee, Cocoa, Rubber in Guinea; port surcharges exempted for essential goods in Cameroon). This results in manual post-booking adjustments (Manual efforts) , IQ impact, and customer disputes.

Incorrect Repricing After Inland Changes: When inland locations are added, removed, or changed on existing Spot bookings—especially after a carrier-initiated roll—the system often triggers incorrect repricing, leading to incorrect invoices and disputes",No,Low,High,Global,Order Handling platform,GCSS,"Penny, PMA",,Prem Mario,,"Rajesh Rao, Manoj Yadav",S,,Penny Henrik ,,,,Combined V5,,,,
10,Structured to Earn,,SSIB VAS - for mixed container size/type - duplicate in Uday's file,Increase Revenue,Revenue Enabler – EBIT,$0.5m,Offer VASes for mix container size type bookings.,No,Low,Low,Global,Order Handling platform,SSIB,,,Prem Mario,,"Rajesh Rao, Manoj Yadav",C,,Ditte,,S,Yes,Combined V5,,,,
11,Structured to Earn,,Visibility of potential charges on booking journey,Invoice Quality - Ocean+ & DnD,"Revenue Leakage Prevention,",TBC,"Country specific charges restrictions to be displayed during booking journey to avoid disputes for pay terrm
Display PIC applicable rates instead of general disclaimer ",No,Low,Low,Global,Order Handling platform,SSIB,Athena,,Prem Mario,,"Rajesh Rao, Manoj Yadav",S,,Ditte,,M,Yes,Combined V5,,,,
12,Structured to Earn,,Spot: Enrichment of customer documentation ,Invoice Quality - Ocean+ & DnD,"Revenue Leakage Prevention,",TBC,"Enable printing Spot terms, D&D deals, and penalty on booking confirmation pdf.",No,High,Low,Global,Order Handling platform,SSIB,GCSS,,Prem Mario,,"Rajesh Rao, Manoj Yadav",S,,Lisa,,,Yes,Combined V5,,,,
13,Simple & Seamless Execution,,Booking confirmation for download,Ocean Digitization,FTE Efficiency,20 FTE,Instant booking confirmation pdf download functionality on SSIB journey,No,High,Low,Global,Order Handling platform,SSIB,GCSS,,Prem Mario,,"Rajesh Rao, Manoj Yadav",C,,Ditte,,L,No,Combined V5,,,,
14,Simple & Seamless Execution,,Commodity based restrictions - SSIB,Ocean Digitization,FTE Efficiency,TBC,For conditional acceptance commodities based on whitelist (approved customers) SSIB to confirm bookings as instant if customer involved is part of this list. ,No,Low,Low,Global,Order Handling platform,SSIB,,,Prem Mario,,"Rajesh Rao, Manoj Yadav",C,,Ditte,,S,Yes,Combined V5,,,,
15,Fix the Foundation,,SSIB - Weight validation logic,Ocean Digitization,Operational Cost Savings,TBC,"Integrate SSIB - NAM weight tool and restrict over weight  bookings upfront
Fetaure to define weight limit max min based on commodity/Flexi e.g. Flexi tank package type Max weight 24k KGS, Empty tanks Max weight 10 kgs",No,High,High,Global,Order Handling platform,SSIB,,,Prem Mario,,"Rajesh Rao, Manoj Yadav",S,,Ditte,,L,No,Combined V5,,,,
16,Simple & Seamless Execution,,SSIB amend,Ocean Digitization,FTE Efficiency,TBC,"SSIB does not support cross-product booking amendments, which prevents these customers to submit amendment online. As a result, customers are required to rely on offline channels, leading to additional contacts and manual effort.",No,Low,Low,Global,Order Handling platform,SSIB,OIPO,,Prem Mario,,"Rajesh Rao, Manoj Yadav",S,,Ditte,,XS,No,Combined V5,,,,
17,,,Fix UTM validate logic for Contact bookings,Ocean Digitization,Operational Cost Savings,TBC,Fix all UTM validation loopholes which are currently being managed by business teams as agreed exception using GCSS security profiles - provide feature upfront UTM validation to avoid back and forth booking updates,No,Low,Low,Global,Order Handling platform,GCSS,YVD,,Prem Mario,,"Rajesh Rao, Manoj Yadav",C,,Gokul,,,,Combined V5,,,,
18,Simple & Seamless Execution,,Intergrate PMA Spot exclusion list - auto book tool,Ocean Digitization,FTE Efficiency,TBC,"To provide similar customer experience across all channels, EDI/Inttra non-spot bookings to be matched against Spot exclusion list to allow bookings on Market/Tariff rates ",No,Low,Low,Global,Order Handling platform,PMA,"Auto book, SSIB",,Prem Mario,,"Rajesh Rao, Manoj Yadav",S,,Haze / Ashvarya,,,Yes,Combined V5,,,,
19,Simple & Seamless Execution,,Spot: Flexibility to stop specific commodity on Spot ,Ocean Digitization,FTE Efficiency,TBC,"Feature to restrict Spot offers for spoecified commodities e.g. Spot is not allowed for Sports gun
",No,Low,Low,Global,Order Handling platform,PMA,"Auto book, SSIB",,Prem Mario,,"Rajesh Rao, Manoj Yadav",C,,Haze,,XS,No,Combined V5,,,,
20,Simple & Seamless Execution,,Enable CFS Service Mode in SSIB Location Search,Ocean Digitization,FTE Efficiency,TBC,"SSIB to support CFS service mode for Ocean bookings including Spot
",No,Low,Low,Global,Order Handling platform,SSIB,PMA,,Prem Mario,,"Rajesh Rao, Manoj Yadav",C,,Ditte,,S,Yes,Combined V5,,,,
21,Simple & Seamless Execution,,BOOKING MULTIPLIER  ,Ocean Digitization,FTE Efficiency,TBC,Enable a functionality for submitting multiple bookings with the same details in one request on Maersk.com,No,High,Low,Global,Order Handling platform,SSIB,"OIPO, GCSS",,Prem Mario,,"Rajesh Rao, Manoj Yadav",C,,Ditte,,L,No,Combined V5,,,,
22,Simple & Seamless Execution,,Instant booking cancel feature,Ocean Digitization,FTE Efficiency,TBC,Offer instant booking cancel feature on website,No,High,Low,Global,Order Handling platform,SSIB,GCSS,,Prem Mario,,"Rajesh Rao, Manoj Yadav",C,,Ditte,,,No,Combined V5,,,,
23,Simple & Seamless Execution,,SOC Doc Uploads,Ocean Digitization,FTE Efficiency,TBC,"Provide document upload functionality for SOC containers for non-approved customers
Auto verification of SOC documents and route to EMR teams
Support all SOC container types on booking journey
",No,High,Low,Global,Order Handling platform,SSIB,,,Prem Mario,,"Rajesh Rao, Manoj Yadav",S,,Ditte,,M,Yes,Combined V5,,,,
24,Simple & Seamless Execution,,"Amendment Improvement:
(1) Amendment triggered either through customer (SSIB & SSDO), Agent (GCSS) or dispatcher (from TMS) should be with amendment reasons 
(2) Enable selection of Customs stop, staging location etc in the export inland leg after  containers are picked up from customer facility. Amend the existing shipment, trigger haulage order to TMS. Amendment should be aligned with container execution status from TMS. Customisable at country level. 
(3) Enable performance management to identify CAD / OTA improvement basis Customer Appointment Date amendment.
(4) Introduce customer appointment date validation at the time of booking to restrict customer from feeding dummy dates for inland transportation. This could vary per country.
(5) Auto haulage trigger from GCSS to TMS to enable instant confirmation to customer",Landside Digitization,FTE Efficiency,10 FTE,"1) OTA improvement, 
2) Reduced customer contacts",Yes,High,High,Global,Maersk.com,SSIB,"SSDO, GCSS",TMS,Prem Mario,,"Lubna Ansari, Prem Kishen, Nisha Soman",,,Ditte / Jigar ,,L,No,Combined V5,,,,
25,Simple & Seamless Execution,,"Instant booking confirmation: 
(1) Flexibility to select from  all the available routes instead of limiting to preferred route at the time of new booking & amendments
(2) For SD & Inland CY bookings instant confirmation should be received from TMS. In case of rejection from TMS, response should be received with recommended/alternate schedul/dates for customer/agent to select. End outcome should be instant confirmation of SD & CY Inland bookings. 
(3) For Rail & Barge MOT bookings, deadline/cut off should be made visible to customer to enable Instant confirmation.
(4) Auto haulage trigger from GCSS to TMS to enable instant confirmation to customer",Landside Digitization,FTE Efficiency,TBC,Improved ratio of instant booking confirmation,Yes,High,High,Global,Maersk.com,SSIB,"SSDO, GCSS",TMS,Prem Mario,,"Lubna Ansari, Prem Kishen, Nisha Soman",,,Ditte /Lisa,,,No,Combined V5,,,,
26,Simple & Seamless Execution,,Out of BL CH bookings invoiced via Maersk LnS local entity should be auto created from Maersk.com & GCSS (Ocean Bkg info) to TELIKOS for export and import shipments,Landside Digitization,FTE Efficiency,TBC,"Automated (out of BL) landside order creation
CX productivity / efficiency gains",Yes,High,High,Global,Maersk.com,SSIB,GCSS,TELIKOS,Prem Mario,,"Lubna Ansari, Prem Kishen, Nisha Soman",,,Lisa,,,No,Combined V5,,,,
27,Compelling Products,,Integrate IOT on M.com for tracking events,Commercial Accelerator,Incremental or New Revenue EBIT,TBC,"Strategic initiative, scope is to experiment and see how to sell dry IoT on m.com
",No,Low,Low,Global,Maersk.com,SSIB,"SSDO, TV","Asset management
Depends on the successfull installation of 20k IoT devices and corresponding pilot
",Marnus Kotze,Not completed,CEN LST  PRODUCT,M,,Veronika,Cornelia,M,Yes,Combined V5,,,,
28,Structured to Earn,,Integrate IOT on M.com for order management,Commercial Accelerator,Incremental or New Revenue EBIT,TBC,TBC,No,Low,Low,Global,Maersk.com,SSIB,SSDO,Asset managment,Marnus Kotze,Not completed,CEN LST  PRODUCT,,,Pritish ,,,No,Combined V5,,,,
29,Simple & Seamless Execution,,"Exceptional handling :Build an integrated capability combining predictive ETA, automated routing suggestions (no phone calls  but standard notifications on shipment management portal or auto emails), and self-service exception handling with reporting to customers.
Problem: Reactive planning inc. ocean change impacting SD planning or vice versa, manual intervention, and poor handling of exceptions drive inefficiencies and push customers to manual channels or merchant haulage.
Impact: Improved OTA and customer satisfaction, reduced operational workload, increased digital (CH) conversion, and better continuous product improvement through direct customer feedback, reducing disputes as we avoid false amendment fees and reprice",Landside Digitization,FTE Efficiency,4 FTE,"66K = 4 FTE
Time spent by CX on managing amendments of SD bookings, and Less abandoned calls/faster resolution for customers",No,High,High,Global,Maersk.com,SSDO,TMS & Capacity Planner,"This has huge dependency on live capacity reader fron intermodal team to solve the problem.

We already have capacity reader logic in SSDO/Shipment detail for Store Door & Inland conversion (which is not real time - maintained by OTCX team as per data they get from intermodal via various source)",Tobias Gruemmer / Abhay Kinra,Not completed,CEN LST  PRODUCT,M,,Jigar,,,No,Combined V5,,,,
30,Structured to Earn,,Capacity reader for faster booking confirmations in locations and to increase in automation ratio of post booking journey ,Landside Digitization,Incremental or New Revenue EBIT,2.5 FTE,"10% Automation increase in booking conrifmaion, booking confirmation time",No,High,High,Global,Maersk.com,SSIB,SSDO,TMS,Varadharajan Chellapa,Not completed,CEN LST  PRODUCT,M,,Ditte,,M,Yes,Combined V5,,,,
31,Structured to Earn,,Improved product availability: A failed search with no inland rates should lead the customer to a nearby best location. We can addtionally use addresses to suggest routing and solve for customers who have no pref of routing or don’t know which SD or CY is best for them,Commercial Accelerator,Incremental or New Revenue EBIT,TBC,CH spot penetration %,Yes,High,Low,Global,Maersk.com,SSIB,,Extention of Zonal pricing initiative,Varadharajan Chellapa,Not completed,CEN LST  PRODUCT,,,Ditte / Jigar ,,S,Yes,Combined V5,,,,
32,Simple & Seamless Execution,,"Leverage AI & E2E Automation capabilities to cater to overall 
Import volumes on  Cargo Release & Import related queries processess 
Route all offline requests received through for CY, SD, and Inland journeys via the SSDO automation module to reduce manual effort, improve efficiency, and increase self-service adoption
",Productivity,FTE Reduction,45 FTE,Automation improvement,No,Low,High,Global,Order Handling platform,SSDO,SFDC,CRM,Vaibhav Sharma,Caroline Cui,Vaibhav Sharma/Lovina Cardoza,M,,Jigar,Emanuel Inani/Amresh Krishnamurthy,L,Yes,Combined V5,,,,
33,Simple & Seamless Execution,,"Improve E2E Digital Adoption
Accelerate E2E digital adoption by onboarding non- standard markets onto the SSDO platform for Delivery Order processing and further optimizing automation across existing transaction volumes. This will increase self-service penetration, streamline operations, reduce CPS and deliver a consistent customer experience globally.",Productivity,FTE Reduction,30 FTE,Automation improvement,Yes,High,High,Global,Order Handling platform,SSDO,,,Vaibhav Sharma,Caroline Cui,Vaibhav Sharma/Lovina Cardoza,M,,Jigar,Emanuel Inani/Amresh Krishnamurthy,L,Yes,Combined V5,,,,
34,Fix the Foundation,,"Decommission of E-Maersk
Drive the decommissioning of the legacy E-Maersk platform in NEC/CSE by migrating Customer & OTC activities to standardized enterprise platforms across Booking, Imports, Customs Clearance, and Landside domains. Enable seamless cross-platform collaboration to streamline operations, reduce technical debt, and establish a unified, scalable process landscape.",Decommission a System,IT Cost Savings,"30 FTE

$50,000","Standardisation & Digitisation
30 FTE + 50K USD Cost saving on E-maersk maintenance",No,High,High,NEC & CSE,Order Handling platform,SSDO,"SSIB, SAPTMS","SAPTMS, SSIB, External Regulatory body",Vaibhav Sharma,Caroline Cui,Vaibhav Sharma/Lovina Cardoza,M,,Jigar / Ditte,Emanuel Inani/Amresh Krishnamurthy,L,Yes,Combined V5,,,,
35,Compelling Products,,"AFRI system validation to be brought for D&D
To create visibility of freetime & payment status for D&D charge in GCSS
For Cash customers, 40–95% of D&D billing remains outstanding month-on-month and consistently migrates into long-ageing buckets, while Freight outstanding remains controlled. The root cause is the absence of payment enforcement at empty return, making D&D a post-service, unsecured receivable.",Ocean Digitization,"Revenue Leakage Prevention,",$56.6m,"Standardisation & Digitisation

* Cash Flow = +$59.5M/month released (~$714M/year)
* Improved Gate Control - 40% Gap Closure
* Write-off Reduction = $56.6M/year saved",No,Low,High,Global,Order Handling platform,GCSS,"KRONOS, SSDO,NFTP","NFTP, KRONOS, SSDO",Vaibhav Sharma,Eligio Fanigliulo,"Vaibhav Sharma/Lovina Cardoza, Satyam Singh, Feroz Shaikh, Vinay Palencheri",M,,Lisa / Sunil Thumma,"Emanuel Inani/Amresh Krishnamurthy/Sunil Reddy, NFTP tech",,,Combined V5,,,,
36,Structured to Earn,,"Enable Ocean/Inland VAS upsell in SSDO
We should have ocean/Inland VAS charge visibility and automation for Ocean/Inland VAS like DRP, MAC, Multi stop, Triaxle",Increase Revenue,Incremental or New Revenue EBIT,$2.5m,"Incremental revenue

DRP-1 Mn USD
MAC- 1 Mn USD
MSI- 0.2Mn USD
PAD - 0.5M USD
Triaxile-0.1Mn USD
",No,High,Low,Global,Order Handling platform,SSDO,,,Vaibhav Sharma,Ocean + Landside P&L,"Vaibhav Sharma/Lovina Cardoza,Cavit",S,,Jigar,Emanuel Inani/Amresh Krishnamurthy,M,Yes,Combined V5,,,,
37,Fix the Foundation,,"Service Delivery Pre-GAM Approval tool
A pre-waiver tool that enables users to submit approval requests and calculate additional D&D free time based on service delivery criteria. The tool automatically routes requests to the appropriate approval authority in accordance with the GAM (Governance Authority Matrix) and, upon approval, triggers the automatic addition of free time in Kronos",Invoice Quality - Ocean+ & DnD,2026 FTE Carryover,TBC,"Invoice Accuracy of Service Delivery Failure
3.3% Invoice Accuracy of D&D service Failures (Ocean + L&S)",No,High,Low,Global,Athena,Kronos ,"SSDO (D&D Calculator), KRONOS","SSDO (D&D Calculator), KRONOS, OnL Cube, Dispute GAM Tool",Vaibhav Sharma,"Shaurya Nehra, Simonne Bonnani","Vaibhav Sharma/Lovina Cardoza, Satyam Singh, Cecilia Gomez",S,,Jigar,Emanuel Inani/Amresh Krishnamurthy/Sunil Reddy,M,Yes,Combined V5,,,,
38,Simple & Seamless Execution,,"E2E processing of MLL shipment
Drive end-to-end automation of MLL shipment processing by eliminating manual interventions across the booking and fulfillment lifecycle. Implement scalable automation capabilities to streamline operational workflows, improve processing efficiency, and enhance the customer experience throughout the shipping journey",Productivity,FTE Reduction,10 FTE,Automation improvement,No,Low,High,Global,Another,"SSIB, EDI, GCSS",Neurix ,Tech driven Neurix outcomes,Vaibhav Sharma,Caroline Cui,Vaibhav Sharma/Lovina Cardoza,M,,Ditte,Emanuel Inani/Amresh Krishnamurthy,XL,No,Combined V5,,,,
39,Fix the Foundation,,"eBL implementation
Launch eBL globally as per Platform plans in adherence to DCSA standards and reporting
",Ocean Digitization,Revenue Enabler – EBIT,TBC,"Improvement in Digitization Ratio
Improve digitisation score to 37%",Yes,Low,High,Global,Order Handling platform,SSED ,GCSS,"Shipment Management, GCSS, Vendor Platform (Enigio)",Vaibhav Sharma,Caroline Cui,Vaibhav Sharma,,,Pritish,Emanuele Ianni,M,Yes,Combined V5,,,,
40,Simple & Seamless Execution,,"Digitize Exports Doc 
Import Brazil Customs requirement (NCM)",Productivity,FTE Efficiency,6 FTE,Automation improvement,No,High,High,Global,Order Handling platform,SSED ,"GCSS, CMD","SSED, GCSS, CMD, OHP",Vaibhav Sharma,Caroline Cui,Vaibhav Sharma,,,Ashvarya,Amresh,S,Yes,Combined V5,,,,
41,Simple & Seamless Execution,,"Digitize Exports Doc 
Import Germany Customer requirement (Multiple cargo line items)",Productivity,FTE Efficiency,4 FTE,Automation improvement,No,High,High,Global,Order Handling platform,SSED ,"GCSS, CMD","SSED, GCSS, CMD, OHP",Vaibhav Sharma,Caroline Cui,Vaibhav Sharma,,,Ashvarya,Amresh,M,Yes,Combined V5,,,,
42,Simple & Seamless Execution,,"Digitize Exports Doc 
Manual split shipments -RTDI exception processing via GCSS",Productivity,FTE Efficiency,1 FTE,Automation improvement,No,High,High,Global,Order Handling platform,SSED ,"GCSS, CMD","SSED, GCSS, CMD, OHP",Vaibhav Sharma,Caroline Cui,Vaibhav Sharma,,,Ashvarya,Amresh,M,Yes,Combined V5,,,,
43,Simple & Seamless Execution,,"Digitize Exports Doc 
Automation of destination release",Productivity,FTE Efficiency,7 FTE,Automation improvement,No,High,High,Global,Order Handling platform,SSED ,"GCSS, CMD","SSED, GCSS, CMD, OHP",Vaibhav Sharma,Caroline Cui,Vaibhav Sharma,,,Ashvarya,Amresh,M,Yes,Combined V5,,,,
44,Simple & Seamless Execution,,"Digitize Exports Doc 
IOTD reassignment for Bill transfer",Productivity,FTE Efficiency,1.7 FTE,Automation improvement,No,High,High,Global,Order Handling platform,SSED ,"GCSS, CMD","SSED, GCSS, CMD, OHP",Vaibhav Sharma,Caroline Cui,Vaibhav Sharma,,,Pritish,Amresh,S,Yes,Combined V5,,,,
45,Simple & Seamless Execution,,"Digitize Exports Doc 
Enable split/combine action on ASIP amendment stage.",Productivity,FTE Efficiency,3 FTE,Automation improvement,No,High,High,Global,Order Handling platform,SSED ,"GCSS, CMD","SSED, GCSS, CMD, OHP",Vaibhav Sharma,Caroline Cui,Vaibhav Sharma,,,Ashvarya,Amresh,L,Yes,Combined V5,,,,
46,Simple & Seamless Execution,,"Digitize Exports Doc 
SOLAR Communication - ISR/ DCC",Productivity,FTE Efficiency,7 FTE,Automation improvement,No,High,High,Global,Order Handling platform,SSED ,"GCSS, CMD","SSED, GCSS, CMD, OHP",Vaibhav Sharma,Caroline Cui,Vaibhav Sharma,,,Ashvarya,Amresh,L,Yes,Combined V5,,,,
47,Simple & Seamless Execution,,"Digitize Exports Doc 
Customs References – Independent feature on Maersk.com ",Productivity,FTE Efficiency,3 FTE,Automation improvement,No,High,High,Global,Order Handling platform,SSED ,"GCSS, CMD","SSED, GCSS, CMD, OHP",Vaibhav Sharma,Caroline Cui,Vaibhav Sharma,,,Pritish,Amresh,S,Yes,Combined V5,,,,
48,Simple & Seamless Execution,,"Invoice Quality Improvement
Getting right payer and payterm as part of instruction submitted for SCM customer
",Invoice Quality - Ocean+ & DnD,2026 FTE Carryover,0,"Invoice Accuracy for SCM shipments
0.00005",Yes,High,Low,Global,Order Handling platform,-,"SCP , MODS","SCP , MODS, GCSS, OHP",Vaibhav Sharma,Caroline Cui,Vaibhav Sharma,,,Jigar/ Ashvarya,TBI,L,Yes,Combined V5,,,,
49,Simple & Seamless Execution,,"Data Quality
Validation of Shipping instruction commodity description Vs Customer provided HS Code.",Improved Productivity,FTE Hiring Avoidance,5 FTE,Data Quality improvement,No,High,Low,Global,Order Handling platform,GMS,Order handling platform,"GCSS, SSED, GMS, OHP",Vaibhav Sharma,Caroline Cui,Vaibhav Sharma,,,Ashvarya,Amresh,,No,Combined V5,,,,
50,Fix the Foundation,,EU - New Customs Reforms,Regulatory Compliance,Revenue at Risk-EBIT,$2B,Compliance with New Customs regulation,No,High,High,Global,Order Handling platform,GCD,"Seeburger, GCSS, GSIS",Integration Platform,Vaibhav Sharma,,Divyang Behre,M,,Al Hirons,Swampnesh,,,Combined V5,,,,
51,Fix the Foundation,,HK - Trade Single Window,Regulatory Compliance,Revenue at Risk-EBIT,$1.5B,Compliance with New Customs regulation,No,High,High,Global,Order Handling platform,GCD,"Seeburger, GCSS, GSIS",Integration Platform,Vaibhav Sharma,,Divyang Behre,M,,Al Hirons,Swampnesh,,,Combined V5,,,,
52,Fix the Foundation,,Driving Operational Excellence in IMEA Customs Manifest processes,Improved Productivity,FTE Reduction,$0.2M,FTE and IT cost reduction,No,High,High,Global,Order Handling platform,GCD,"Seeburger, GCSS, GSIS",Integration Platform,Vaibhav Sharma,,Divyang Behre,M,,Al Hirons,Swampnesh,,,Combined V5,,,,
53,Fix the Foundation,,Driving Operational Excellence in SWE Customs Manifest processes,Improved Productivity,Operational Cost Savings,$0.15M,FTE and IT cost reduction,No,Low,High,Global,Order Handling platform,GCD,"Seeburger, GCSS, GSIS",Integration Platform,Vaibhav Sharma,,Divyang Behre,M,,Al Hirons,Swampnesh,,,Combined V5,,,,
54,Fix the Foundation,,Driving Operational Excellence in India Import Manifest process,Improved Productivity,FTE Reduction,3 FTE,"FTE cost reduction
$0.05M = (3 FTE)",Yes,Low,High,EMEA only ,Order Handling platform,SSDO,"Seeburger, GCSS, GSIS",Integration Platform,Vaibhav Sharma,,Divyang Behre,M,,Al Hirons / Jigar,,M,Yes,Combined V5,,,,
55,Fix the Foundation,,"Mitigation of High risk to Regulatory compliance
Kuwait, Saudi Arabia, Bangaldesh",Regulatory Compliance,Revenue at Risk-EBIT,"$25M
","Business risk mitigation
$25M + 1.5 FTE",No,High,High,EMEA only ,Order Handling platform,GCD,SSDO,Integration Platform,Vaibhav Sharma,,Divyang Behre,M,,Jigar,,L,Yes,Combined V5,,,,
56,Fix the Foundation,,"Mitigation of High risk to DO and Cargo release
Kuwait, Saudi Arabia, Bangaldesh",Regulatory Compliance,Revenue at Risk-EBIT,$25M ,"Business risk mitigation
$25M + 1.5 FTE",No,High,High,EMEA only ,Order Handling platform,SSDO,GCD,Integration Platform,Vaibhav Sharma,,Divyang Behre,M,,Al Hirons,,,Yes,Combined V5,,,,
57,Fix the Foundation,,AI based business support solutions​,Improved Productivity,FTE Reduction,TBC,"FTE cost reduction
$0.05M",No,Low,High,Global,Order Handling platform,GCD,,,Vaibhav Sharma,,Divyang Behre,M,,Al Hirons,,,Yes,Combined V5,,,,
58,Fix the Foundation,,Colombia Advance Manifest regulation,Regulatory Compliance,Revenue at Risk-EBIT,$40M,Compliance with New Customs regulation,No,High,High,Global,Order Handling platform,GCD,"Seeburger, GCSS, GSIS",Integration Platform,Vaibhav Sharma,,Divyang Behre,M,,Al Hirons,,,Yes,Combined V5,,,,
59,Fix the Foundation,,AI enabled product classification support,Regulatory Compliance,Operational Cost Savings,$0.1M,Business risk mitigation,No,High,High,Global,Order Handling platform,GCD,"Maersk Classify, GCSS",,Vaibhav Sharma,,"Divyang Behre
Manoj Jain",M,,Al Hirons,,,Yes,Combined V5,,,,
60,Fix the Foundation,,Compliance with data synergy in Shipping Bill and Shipping Instrutction,Improved Productivity,Operational Cost Savings,$0.1M,Third party Cost saving,No,High,Low,EMEA only ,Order Handling platform,Opticus,GCSS,,Vaibhav Sharma,,Gregor Paredes,M,,Ema,,,,Combined V5,,,,
